DEFAULT,0m
ENDC,0m
PURPLE_30,38;05;133m
PURPLE_31,38;05;134m
PURPLE_32,38;05;135m
PURPLE_33,38;05;139m
PURPLE_34,38;05;140m
PURPLE_35,38;05;141m
PURPLE_36,38;05;146m
PURPLE_37,38;05;147m
PURPLE_38,38;05;165m
PURPLE_39,38;05;170m
PURPLE_40,38;05;171m
PURPLE_41,38;05;176m
PURPLE_42,38;05;182m
PURPLE_43,38;05;183m
RED_1,38;05;1m
RED_2,38;05;9m
RED_3,38;05;52m
RED_4,38;05;88m
RED_5,38;05;95m
RED_6,38;05;124m
RED_7,38;05;160m
RED_8,38;05;196m
RED_9,38;05;203m
WHITE_1,38;05;7m
WHITE_2,38;05;15m
WHITE_3,38;05;231m
WHITE_4,38;05;252m
WHITE_5,38;05;253m
WHITE_6,38;05;254m
WHITE_7,38;05;255m
YELLOW_1,38;05;3m
YELLOW_2,38;05;11m
YELLOW_3,38;05;58m
YELLOW_4,38;05;94m
YELLOW_5,38;05;100m
YELLOW_6,38;05;101m
YELLOW_7,38;05;136m
YELLOW_8,38;05;142m
YELLOW_9,38;05;178m
YELLOW_10,38;05;179m
YELLOW_11,38;05;180m
YELLOW_12,38;05;184m
YELLOW_13,38;05;185m
YELLOW_14,38;05;186m
YELLOW_15,38;05;187m
YELLOW_16,38;05;214m
YELLOW_17,38;05;215m
YELLOW_18,38;05;216m
YELLOW_19,38;05;220m
YELLOW_20,38;05;221m
YELLOW_21,38;05;222m
YELLOW_22,38;05;223m
YELLOW_23,38;05;224m
YELLOW_24,38;05;226m
YELLOW_25,38;05;227m
YELLOW_26,38;05;228m
YELLOW_27,38;05;229m
YELLOW_28,38;05;230m
